,ticker,name,description,logoid,update_mode,type,typespecs,Volatility.D,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NASDAQ:APVO,APVO,Aptevo Therapeutics Inc.,aptevo-therapeutics,streaming,stock,['common'],214.37291666666667,5.13,100,1,false,0,USD,81.91489361702128,124354240,3877541.425531915,USD,,-1769.0946,97.59485650601745,0.0,Health technology,Health Technology,america,,1292.42985156531
1,AMEX:RYDE,RYDE,Ryde Group Ltd.,ryde-ltd,streaming,stock,['common'],136.61129568106315,0.45,10000,1,false,0,USD,155.10204081632654,565417896,4637525.0,USD,,-0.7528,-50.95247643874073,0.0,Technology services,Technology Services,america,1.0,2650.1036338641966
2,AMEX:EGG,EGG,Enigmatig Limited,,streaming,stock,['common'],126.48556876061122,6.53,100,1,false,0,USD,,1501951,,USD,,,,,Commercial services,Commercial Services,america,,
3,NASDAQ:CAI,CAI,CARIS LIFE SCIENCES INC,,streaming,stock,['common'],119.0923317683881,28.0,100,1,false,0,USD,-50.0,15316132,,USD,,,,,Technology services,Technology Services,america,,112.6926136058456
4,NASDAQ:JZXN,JZXN,"Jiuzi Holdings, Inc.",jiuzi,streaming,stock,['common'],102.38095238095238,1.005,100,1,false,0,USD,-14.102564102564106,2223219,11066444.974358974,USD,,,,0.0,Retail trade,Retail Trade,america,,3.8205159886505937
5,NASDAQ:PTLE,PTLE,PTL LTD,ptl-ltd,streaming,stock,['common'],94.44282804771603,0.365,10000,1,false,0,USD,84.4365841334007,402376850,13682937.5,USD,,-0.0171,-634.375,0.0,Transportation,Transportation,america,,38.36466343325351
6,NASDAQ:MRIN,MRIN,Marin Software Incorporated,marin-software,streaming,stock,['common'],92.78350515463917,1.44,10000,1,false,0,USD,69.41176470588235,49889957,4591465.4117647065,USD,,-3.9377,47.45669984788237,0.0,Technology services,Technology Services,america,,6.714209835939642
7,NASDAQ:PSTV,PSTV,"PLUS THERAPEUTICS, Inc.",plus-therapeutics,streaming,stock,['common'],88.86168910648715,0.2025,10000,1,false,0,USD,-34.38107582631237,23719155,6625204.180168503,USD,,-2.496,21.64741336012054,0.0,Health technology,Health Technology,america,1.25,7.518341110856722
8,NYSE:WOLF,WOLF,"Wolfspeed, Inc.",wolfspeed,streaming,stock,['common'],83.6734693877551,0.8732,100,1,false,0,USD,-30.144000000000005,80439508,135893255.39679998,USD,,-8.3521,-30.356947761077556,0.0,Electronic technology,Electronic Technology,america,2.5,5.324242352336673
9,AMEX:AMZE,AMZE,"Amaze Holdings, Inc.",,streaming,stock,['common'],76.25787106446775,10.59,100,1,false,0,USD,53.70101596516691,687923,8552198.07,USD,,-5.0142,64.16918558535384,0.0,Consumer non-durables,Consumer Non-Durables,america,,19.56703219213749
