,ticker,logoid,name,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,description,type,typespecs,update_mode,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
0,NASDAQ:PTLE,ptl-ltd,PTLE,0.5121,0.31420000000000003,158.767054067711,147985130,62.20313289540172,0.365,84.4365841334007,402376850,13682937.5,,PTL LTD,stock,['common'],streaming,10000,1,false,0,USD,USD
1,AMEX:RYDE,ryde-ltd,RYDE,0.409401,0.233001,132.08673469387756,78148173,1.0770975056689258,0.45,155.10204081632654,565417896,4637525.0,-96.9434168411718,Ryde Group Ltd.,stock,['common'],streaming,10000,1,false,0,USD,USD
2,NASDAQ:APVO,aptevo-therapeutics,APVO,6.17,3.35,118.79432624113475,12497011,-0.35460992907800665,5.13,81.91489361702128,124354240,3877541.425531915,11.14252829996186,Aptevo Therapeutics Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
3,NASDAQ:LSE,leishen-energy-co-ltd,LSE,9.33,3.7800000000000002,68.10810810810811,6967923,22.702702702702698,7.47,34.5945945945946,16844283,127176750.0,,"Leishen Energy Holding Co., Ltd.",stock,['common'],streaming,100,1,false,0,USD,USD
4,NASDAQ:RELI,reliance-industrial-infrastructure,RELI,3.08,0.9100000000000001,41.93548387096775,14294994,42.3963133640553,2.92,34.56221198156682,49559473,8686733.566820275,59.886303584720245,"Reliance Global Group, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
5,NASDAQ:SAFX,,SAFX,2.36,0.6599999999999999,38.8235294117647,5555883,61.17647058823531,1.85,8.823529411764714,13229335,10566871.352941178,,"XCF Global, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
6,NYSE:GHLD,guild-company,GHLD,20.0,4.279999999999999,27.226463104325692,2111,20.229007633587774,19.72,25.44529262086513,822966,1226784658.5267174,-10.344594618861501,Guild Holdings Company,stock,['common'],streaming,100,1,false,0,USD,USD
7,NASDAQ:HTCO,caravelle-international,HTCO,0.2384,0.04055,20.49532474096538,2285280,15.8453373768006,0.205,3.6138488754106595,12560742,24792639.903967652,-36.03465363783761,High-Trend International Group,stock,['common'],streaming,10000,1,false,0,USD,USD
8,NASDAQ:HSDT,helius-medical-technologies,HSDT,0.3701,0.0605,19.541343669250647,28317163,8.527131782945748,0.3603,16.37596899224807,67861961,190260.74418604653,-57.157105652517515,"Helius Medical Technologies, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
9,NASDAQ:GURE,gulf-resources,GURE,0.708,0.10799999999999998,18.0,17946679,-0.1999999999999965,0.81,35.000000000000014,27333250,10810760.850000001,-54.08247893373772,"Gulf Resources, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
10,NASDAQ:GOVX,geovax,GOVX,1.06,0.16000000000000003,17.777777777777782,4324419,14.444444444444446,0.9247,2.7444444444444382,12865308,14725470.42788889,295.667459276332,"GeoVax Labs, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
11,NASDAQ:IMDX,oncocyte-oration,IMDX,3.11,0.45999999999999996,17.358490566037734,799425,32.45283018867924,3.16,19.245283018867934,1449720,90373742.57499999,154.56325914533426,Oncocyte Corporation,stock,['common'],streaming,100,1,false,0,USD,USD
12,AMEX:TPET,trio-petroleum,TPET,1.75,0.24,15.894039735099339,4495647,9.271523178807941,1.41,-6.622516556291397,11844853,10606724.066225166,,Trio Petroleum Corp.,stock,['common'],streaming,100,1,false,0,USD,USD
13,NYSE:KFY,korn-ferry,KFY,76.6999,9.939899999999994,14.88900539245056,24174,1.1084481725584105,71.07,6.455961653684823,1940044,3670472655.6178837,3.0653623004269783,Korn Ferry,stock,['common'],streaming,100,1,false,0,USD,USD
14,NASDAQ:IMRX,immuneering,IMRX,2.08,0.26,14.285714285714285,483585,-3.2967032967032996,2.77,52.19780219780219,13662446,99680398.13186812,49.05508282673693,Immuneering Corporation,stock,['common'],streaming,100,1,false,0,USD,USD
15,NASDAQ:HCTI,healthcare-triangle,HCTI,0.0252,0.0030999999999999986,14.02714932126696,74209758,15.384615384615369,0.0265,19.909502262443425,445416370,10823807.488687782,-7.963669364473888,"Healthcare Triangle, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
16,NYSE:GMS,gms,GMS,83.5,10.260000000000005,14.008738394320053,12284,0.0,81.01,10.60895685417806,2161504,3109898974.598717,-21.124623975197434,GMS Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
17,NASDAQ:LTRY,lottery-com,LTRY,1.2292,0.12919999999999998,11.745454545454542,332958,20.909090909090907,1.25,13.636363636363628,2404095,33375076.13636363,446.7997512052095,"Lottery.com, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
18,NASDAQ:GOGO,gogo,GOGO,14.0,1.4700000000000006,11.731843575419001,51873,-0.07980845969672616,14.4,14.924181963288117,7329704,1904595515.9138067,8.092037761975275,Gogo Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
19,NASDAQ:IBIO,ibio,IBIO,0.91,0.09520000000000006,11.683848797250867,57846,2.0741286205203764,0.9,10.456553755522835,889885,14597353.829160532,-32.86044945825435,"iBio, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
