,ticker,name,description,logoid,update_mode,type,typespecs,relative_volume_10d_calc,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark
0,NASDAQ:RLYB,RLYB,Rallybio Corporation,rallybio,streaming,stock,['common'],1093.4322666296132,0.5114,10000,1,false,0,USD,50.23501762632198,151875883,21281382.172737952,USD,,-1.0831,42.37910304835878,0.0,Health technology,Health Technology,america,1.75
1,NASDAQ:LSB,LSB,"LakeShore Biopharma Co., Ltd",ys-biopharma-co-ltd,streaming,stock,['common'],939.6702986922284,1.38,100,1,false,0,USD,40.74451810300865,15333352,26331435.879653234,USD,,,,0.0,Health technology,Health Technology,america,
2,NASDAQ:BSLK,BSLK,"Bolt Projects Holdings, Inc.",bolt-projects,streaming,stock,['common'],297.75248285870885,3.38,100,1,false,0,USD,35.199999999999996,34549888,6968813.696,USD,6.5964090554254495,0.5124,,0.0,Finance,Finance,america,
3,NASDAQ:SOBR,SOBR,"SOBR Safe, Inc.",sobr-safe,streaming,stock,['common'],285.65448207703446,3.37,100,1,false,0,USD,19.928825622775804,8555466,5109408.110320285,USD,,-175.9029,74.33157397827777,0.0,Electronic technology,Electronic Technology,america,
4,NASDAQ:NDRA,NDRA,ENDRA Life Sciences Inc.,endra-life-sciences,streaming,stock,['common'],182.70555880156323,8.3,100,1,false,0,USD,140.12034947636408,90808463,2552250.0,USD,,-486.3853,77.35528348070613,0.0,Health technology,Health Technology,america,1.0
5,AMEX:ITP,ITP,"IT Tech Packaging, Inc.",it-tech-packaging,streaming,stock,['common'],173.40864036961935,0.1903,10000,1,false,0,USD,2.7537796976241866,81850595,3228519.6479481636,USD,,-0.9537,12.408155767817782,0.0,Process industries,Process Industries,america,
6,NASDAQ:PROK,PROK,ProKidney Corp.,,streaming,stock,['common'],133.90935297629937,3.73,100,1,false,0,USD,515.0041220115415,343425172,177521131.0,USD,,-0.6026,-5.626643295354955,0.0,Health technology,Health Technology,america,1.7
7,NASDAQ:ZVSA,ZVSA,"ZyVersa Therapeutics, Inc.",zyversa-therapeutics,streaming,stock,['common'],124.4364660415088,0.775,10000,1,false,0,USD,17.370892018779347,208031764,3776928.4037558683,USD,,-7.7761,99.55936440038799,0.0,Health technology,Health Technology,america,
8,NASDAQ:IROH,IROH,Iron Horse Acquisitions Corp.,iron-horse-acquisitions,streaming,stock,['common'],97.11133923755503,10.07,100,1,false,0,USD,68.67671691792296,5581280,89290690.0,USD,90.55755395683454,0.1112,,0.0,Finance,Finance,america,
9,NASDAQ:BTCS,BTCS,BTCS Inc.,btcs,streaming,stock,['common'],74.26662200119902,5.91,100,1,false,0,USD,111.0714285714286,134370770,59067092.0,USD,,-1.7316,-241.4474759026303,0.0,Finance,Finance,america,1.0
10,NASDAQ:LGVN,LGVN,Longeveron Inc.,longeveron,streaming,stock,['common'],69.34914293166088,1.66,100,1,false,0,USD,28.68217054263565,10263583,24915447.007751938,USD,,-2.7746,71.16489820521082,0.0,Health technology,Health Technology,america,1.0
11,NASDAQ:CRGX,CRGX,"CARGO Therapeutics, Inc.",cargo-therapeutics,streaming,stock,['common'],69.08610847634931,4.58,100,1,false,0,USD,4.328018223234634,24778852,211199136.21867883,USD,,-4.655,,0.0,Health technology,Health Technology,america,2.0
12,NASDAQ:ALF,ALF,Centurion Acquisition Corp.,centurion-acquisition,streaming,stock,['common'],64.43249857084115,10.55,100,1,false,0,USD,0.476190476190483,642450,379140625.0,USD,35.15494835054982,0.3001,,0.0,Finance,Finance,america,
13,NASDAQ:LTRN,LTRN,Lantern Pharma Inc.,lantern-pharma,streaming,stock,['common'],54.10548572045898,3.54,100,1,false,0,USD,12.380952380952385,3505792,38177924.53333333,USD,,-1.845,-13.720414201183425,0.0,Health technology,Health Technology,america,1.0
14,NASDAQ:WKHS,WKHS,"Workhorse Group, Inc.",workhorse,streaming,stock,['common'],46.32705051446353,2.71,100,1,false,0,USD,54.85714285714286,51283943,25671978.662857145,USD,,-45.1637,65.2947323932839,0.0,Consumer durables,Consumer Durables,america,2.0
15,NASDAQ:MB,MB,MasterBeef Group,masterbeef,streaming,stock,['common'],42.872376928407554,8.98,100,1,false,0,USD,2.045454545454542,1274450,154051899.99999997,USD,36.312171451678125,0.2473,,0.0,Consumer services,Consumer Services,america,
16,NYSE:GROV,GROV,"Grove Collaborative Holdings, Inc.",grove-collaborative-redeemable,streaming,stock,['common'],40.76971491470379,1.17,100,1,false,0,USD,-1.6806722689075646,2914949,47098054.05882353,USD,,-0.7654,22.757089514582706,0.0,Consumer non-durables,Consumer Non-Durables,america,1.5
17,NASDAQ:GAME,GAME,"GameSquare Holdings, Inc.",engine-gaming-and-media,streaming,stock,['common'],37.78005675048749,1.54,100,1,false,0,USD,58.762886597938156,29106704,60250915.546391755,USD,,-1.5112,79.10773782367659,0.0,Miscellaneous,Miscellaneous,america,1.0
18,NASDAQ:BNRG,BNRG,Brenmiller Energy Ltd,brenmiller-energy-ltd,streaming,stock,['common'],35.10497153604058,2.17,100,1,false,0,USD,-14.901960784313722,2771871,5915099.180392157,USD,,-6.4674,80.6196997392946,0.0,Industrial services,Industrial Services,america,
19,NASDAQ:FDSB,FDSB,"Fifth District Bancorp, Inc.",fifth-district-bancorp,streaming,stock,['common'],21.76772803912395,12.45,100,1,false,0,USD,-0.4796163069544404,246587,69215438.85000001,USD,965.1162790697674,0.0129,,0.0,Finance,Finance,america,
20,NASDAQ:BBGI,BBGI,"Beasley Broadcast Group, Inc.",beasley-broadcast,streaming,stock,['common'],18.57159154020504,4.18,100,1,false,0,USD,4.761904761904749,618629,7500679.999999999,USD,,-5.1843,87.40849585893669,0.0,Consumer services,Consumer Services,america,
21,NASDAQ:OCC,OCC,Optical Cable Corporation,optical-cable-corporation,streaming,stock,['common'],17.590779749911615,4.66,100,1,false,0,USD,28.7292817679558,7174783,38343619.25414365,USD,,-0.3843,29.53795379537954,0.0,Electronic technology,Electronic Technology,america,
22,AMEX:SRXH,SRXH,"SRX Health Solutions, Inc.",better-choice-company,streaming,stock,['common'],16.787705316014964,0.614,10000,1,false,0,USD,-0.9677419354838719,5338450,7163583.5548387095,USD,,-0.7149,97.74953016838387,0.0,Health technology,Health Technology,america,
23,AMEX:CLDI,CLDI,"Calidi Biotherapeutics, Inc.",first-light-acquisition,streaming,stock,['common'],15.886246461217402,0.335,10000,1,false,0,USD,39.46711074104914,46496724,11564392.464612827,USD,,-1.842,81.7339825272949,0.0,Health technology,Health Technology,america,1.0
