,ticker,name,description,logoid,update_mode,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NASDAQ:EVOK,EVOK,"Evoke Pharma, Inc.",evoke-pharma,streaming,stock,['common'],3971003.0,USD,6.99,100,1,false,0,USD,162.78195488721806,139970903,,-3.1821,85.54004989480283,0.0,Health technology,Health Technology,america,1.0,10496.269525245045
1,NASDAQ:BMGL,BMGL,Basel Medical Group Ltd,basel-medical-ltd,streaming,stock,['common'],34190065.0,USD,3.62,100,1,false,0,USD,98.9010989010989,85715525,169.9530516431925,0.0213,-81.44599303135888,0.0,Health services,Health Services,america,,106.97430373527295
2,NASDAQ:CELZ,CELZ,"Creative Medical Technology Holdings, Inc.",creative-medical-technology,streaming,stock,['common'],10186995.962825278,USD,3.94,100,1,false,0,USD,46.468401486988846,2256898,,-3.8054,-1.7922105713674346,0.0,Health technology,Health Technology,america,1.0,55.114580993035275
3,NASDAQ:SHFS,SHFS,"SHF Holdings, Inc.",shf,streaming,stock,['common'],9578535.080851063,USD,3.44,100,1,false,0,USD,46.38297872340425,435171,,-18.2137,-2048.406076166025,0.0,Finance,Finance,america,,37.34571980261747
4,AMEX:EGG,EGG,Enigmatig Limited,,streaming,stock,['common'],244202404.00000003,USD,8.77,100,1,false,0,USD,46.166666666666664,2866954,,,,0.0,Commercial services,Commercial Services,america,,2.2480132364390366
5,NASDAQ:SOBR,SOBR,"SOBR Safe, Inc.",sobr-safe,streaming,stock,['common'],7186526.385756677,USD,4.74,100,1,false,0,USD,40.652818991097924,25879530,,-175.9029,74.33157397827777,0.0,Electronic technology,Electronic Technology,america,,29.30153960421823
6,NASDAQ:GAME,GAME,"GameSquare Holdings, Inc.",engine-gaming-and-media,streaming,stock,['common'],84507772.67532468,USD,2.16,100,1,false,0,USD,40.25974025974027,87506549,,-1.5112,79.10773782367659,0.0,Miscellaneous,Miscellaneous,america,1.0,24.00732319449634
7,NASDAQ:RYTM,RYTM,"Rhythm Pharmaceuticals, Inc.",rhythm-pharmaceuticals,streaming,stock,['common'],5662310901.320233,USD,89.0,100,1,false,0,USD,36.62879950875038,4794532,,-2.8152,39.29880546810989,0.0,Health technology,Health Technology,america,1.0,6.930223972878858
8,NASDAQ:TLIH,TLIH,Ten-League International Holdings Limited,,streaming,stock,['common'],140928265.14000002,USD,5.07,100,1,false,0,USD,35.92493297587132,1681072,101.60320641282566,0.0499,,0.0,Distribution services,Distribution Services,america,,
9,NASDAQ:ARTL,ARTL,"Artelo Biosciences, Inc.",,streaming,stock,['common'],14763816.000000002,USD,21.6,100,1,false,0,USD,35.84905660377359,1079946,,-17.9623,4.37344946177025,0.0,Health technology,Health Technology,america,1.0,0.30027292002573247
