,ticker,logoid,name,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,description,type,typespecs,update_mode,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
0,NASDAQ:SLNH,soluna,SLNH,0.47,-0.29410000000000003,-38.4897264755922,5486783,-1.845308205732234,0.6359,-16.77790865070017,28139471,12117151.4804345,-55.32514984275394,"Soluna Holdings, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
1,NASDAQ:CYCC,cyclacel-pharmaceuticals,CYCC,9.3,-3.0299999999999994,-24.574209245742086,675278,-31.062449310624494,8.2,-33.495539334955396,3553824,12988512.700729925,140.87220714353924,"Cyclacel Pharmaceuticals, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
2,NASDAQ:CREG,smart-powerr,CREG,0.1825,-0.049699999999999994,-21.40396210163652,506323,4.866494401378124,0.1851,-20.28423772609819,2738942,4616174.781653747,-31.19366076585471,Smart Powerr Corp.,stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
3,NASDAQ:LIXT,lixte-biotechnology,LIXT,3.05,-0.6600000000000001,-17.789757412398927,312340,-0.2695417789757355,3.72,0.26954177897574744,1031455,10768466.490566038,34.17977664851048,"Lixte Biotechnology Holdings, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
4,AMEX:XTNT,xtant-medical,XTNT,0.5205,-0.09940000000000004,-16.034844329730607,286,-16.034844329730607,0.58,-6.436522019680602,193667,80807434.77980319,4.342130619328703,"Xtant Medical Holdings, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
5,NASDAQ:ONCO,blue-water-biotech,ONCO,3.83,-0.7000000000000002,-15.452538631346583,1511173,13.686534216335541,3.51,-22.51655629139074,3485348,1831738.8278145695,-24.76799925997628,"Onconetix, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
6,NASDAQ:CELU,celularity,CELU,2.14,-0.33999999999999986,-13.709677419354833,66701,-12.500000000000004,2.14,-13.709677419354833,353416,51251349.26612903,-32.871400976626504,Celularity Inc.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
7,NASDAQ:SKYQ,sky-quarry,SKYQ,0.553,-0.08489999999999998,-13.309296127919731,196537,-2.790406019752318,0.6192,-2.931493964571257,894331,13256836.704,,Sky Quarry Inc.,stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
8,NASDAQ:BLMZ,bloomz,BLMZ,0.1858,-0.026900000000000007,-12.646920545369067,3426436,-4.231311706629059,0.1975,-7.146215326751289,22241917,2849122.3600000003,,BloomZ Inc.,stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
9,NASDAQ:SLXN,silexion-therapeutics,SLXN,0.6701,-0.08999999999999997,-11.840547296408364,126108,0.6578081831337987,0.695,-8.56466254440206,664071,6041212.294434941,-84.52954988099717,Silexion Therapeutics Corp,stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
10,NASDAQ:IBG,innovation-beverage-limited,IBG,1.26,-0.1499999999999999,-10.63829787234042,402868,-2.8368794326241007,1.06,-24.822695035460985,2702215,9838003.1,,Innovation Beverage Group Limited,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
11,NASDAQ:PLRZ,polyrizon-ltd,PLRZ,0.9299,-0.11010000000000009,-10.586538461538469,714490,-12.798076923076923,1.05,0.9615384615384623,4498866,5594748.317307692,,Polyrizon Ltd.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
12,NASDAQ:MOVE,movano,MOVE,0.6349,-0.06209999999999993,-8.909612625538012,141565,-1.0043041606886667,0.59,-15.351506456241031,888325,4151802.0659971302,-83.58165556997666,Movano Inc.,stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
13,NASDAQ:VWAV,,VWAV,2.98,-0.29000000000000004,-8.86850152905199,95428,-4.281345565749239,3.52,7.64525993883792,516953,9235304.513761468,,"VisionWave Holdings, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
14,NASDAQ:COOT,australian-oilseeds-limited,COOT,0.4794,-0.04550000000000004,-8.668317774814257,49410,-2.8386359306534623,0.5195,-1.0287673842636826,269153,14493289.900933508,-18.466641588782306,Australian Oilseeds Holdings Limited,stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
15,NASDAQ:PMN,promis-neurosciences,PMN,0.4046,-0.03539999999999999,-8.045454545454543,152611,-2.7272727272727297,0.45,2.2727272727272747,1311574,14710134.886363639,-68.74358419675367,ProMIS Neurosciences Inc.,stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
16,NASDAQ:MSW,ming-shing-limited,MSW,2.94,-0.25,-7.836990595611286,3800,-13.479623824451417,3.06,-4.075235109717865,97107,39703500.00000001,,Ming Shing Group Holdings Limited,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
17,NASDAQ:TLIH,,TLIH,4.34,-0.3600000000000003,-7.659574468085113,2489,-4.680851063829781,4.34,-7.659574468085113,104564,127614848.61999997,,Ten-League International Holdings Limited,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
18,NASDAQ:AENT,alliance-entertainment,AENT,4.9088,-0.3971999999999998,-7.48586505842442,200,-7.48586505842442,5.57,4.975499434602342,54718,283832567.4651338,102.78747115304036,Alliance Entertainment Holding Corporation,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
19,NASDAQ:SHPH,,SHPH,4.35,-0.35000000000000053,-7.446808510638308,144825,-2.3404255319149003,3.91,-16.80851063829787,854133,4184970.334042554,-32.20299095618789,"Shuttle Pharmaceuticals Holdings, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
20,NASDAQ:HTOO,,HTOO,4.88,-0.3700000000000001,-7.04761904761905,12096,-0.952380952380949,4.725,-10.000000000000005,155861,3701451.5999999996,-70.30103222498181,Fusion Fuel Green PLC,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
21,AMEX:MI,takung-art,MI,2.42,-0.18000000000000016,-6.923076923076929,200,-6.923076923076929,2.6,0.0,10537,13169389.0,254.92108609798535,NFT Limited,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
22,NASDAQ:UBXG,u-bx-technology-ltd,UBXG,2.89,-0.20999999999999996,-6.774193548387096,141,-6.774193548387096,3.09,-0.3225806451612978,2999,64223001.570967734,-77.16244997456289,U-BX Technology Ltd.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
23,AMEX:GRO,brazil-potash,GRO,1.79,-0.1299999999999999,-6.770833333333329,251412,0.0,1.76,-8.33333333333333,1529447,67608182.40000002,,Brazil Potash Corp.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
24,NASDAQ:SDST,stardust-power,SDST,0.387,-0.02679999999999999,-6.476558724021264,557994,-8.144030932817788,0.429,3.673272112131462,7560485,36227942.76945384,-97.11427733596445,Stardust Power Inc.,stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
25,NASDAQ:GANX,gain-therapeutics,GANX,1.59,-0.10999999999999988,-6.47058823529411,121864,-14.705882352941178,1.62,-4.705882352941168,937011,48511930.129411764,69.39595221486455,"Gain Therapeutics, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
26,NASDAQ:TTEC,ttec,TTEC,4.71,-0.3200000000000003,-6.361829025844935,100,-6.361829025844935,5.0,-0.5964214711729672,325347,239165945.3280318,-11.970941014021397,"TTEC Holdings, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
27,NASDAQ:TWG,top-wealth-limited,TWG,0.1347,-0.008800000000000002,-6.132404181184671,116967,0.0,0.1391,-3.0662020905923257,1682140,7789600.0,-68.30378471387482,Top Wealth Group Holding Limited,stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
28,AMEX:KAPA,kairos-pharma-ltd,KAPA,1.1,-0.06999999999999984,-5.98290598290597,2196387,-13.675213675213667,1.09,-6.837606837606826,8780665,18365743.540000007,,"Kairos Pharma, Ltd.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
29,NASDAQ:SNAL,snail,SNAL,1.42,-0.09000000000000008,-5.960264900662257,125501,-1.3245033112582794,1.4,-7.284768211920537,537327,52099124.0,,"Snail, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
30,NASDAQ:TLPH,acelrx-pharmaceuticals,TLPH,0.4116,-0.02579999999999999,-5.898491083676266,11237,-3.6351165980795663,0.43,-1.6918152720621897,279927,8816489.368998628,-33.824573162735305,"Talphera, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
31,NASDAQ:MDIA,mediaco,MDIA,1.2,-0.07499999999999996,-5.8823529411764675,3624,-3.529411764705877,1.24,-2.7450980392156805,71069,66560106.32156862,-59.80608793172151,Mediaco Holding Inc.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
32,NASDAQ:PWM,prestige-wealth,PWM,0.4011,-0.024999999999999967,-5.86716733161229,16331,-8.37831494954235,0.4147,-2.6754283032151998,103909,13121919.686927952,60.80164248190765,Prestige Wealth Inc.,stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
33,NASDAQ:MLEC,moolec-science-sa,MLEC,4.34,-0.2599999999999998,-5.652173913043474,681920,15.434782608695652,4.07,-11.52173913043477,1468408,16331622.641304351,-38.2798928672577,Moolec Science SA,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
34,NASDAQ:IKNA,ikena-oncology,IKNA,1.34,-0.07999999999999985,-5.633802816901398,75694,-4.2253521126760445,1.29,-9.154929577464783,1148136,62252959.90140846,-14.37500072040998,"Ikena Oncology, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
35,NASDAQ:HAO,haoxi-health-technology-limited,HAO,1.36,-0.07999999999999985,-5.555555555555546,388,0.0,1.36,-5.555555555555546,80979,26386169.200000003,,Haoxi Health Technology Limited,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
36,AMEX:PLAG,planet-green,PLAG,1.2,-0.07000000000000006,-5.511811023622052,7250,-1.5748031496063006,1.46,14.960629921259837,115952,10632762.692913385,-51.762836601164324,Planet Green Holdings Corp.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
37,NASDAQ:TROO,troops,TROO,0.8794,-0.05060000000000009,-5.440860215053773,42614,-8.602150537634417,0.8185,-11.989247311827961,2108660,92089568.77634409,-70.90346739657451,"TROOPS, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
38,AMEX:BQ,,BQ,2.83,-0.16000000000000014,-5.351170568561877,4738,0.3344481605351099,2.7,-9.698996655518394,115488,1243969601.3999999,,Boqii Holding Limited,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
39,NASDAQ:LNTH,lantheus,LNTH,77.0,-4.260000000000005,-5.242431700713764,24735,-0.9352695052916628,74.41,-8.429731725326125,4162788,5148118251.475018,5.867837084403069,"Lantheus Holdings, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
40,NASDAQ:SAGT,sagtec-global-limited,SAGT,2.17,-0.1200000000000001,-5.240174672489087,26149,-5.676855895196502,2.02,-11.790393013100438,254269,25350999.999999996,,SAGTEC GLOBAL LIMITED,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
41,NASDAQ:VRAR,the-glimpse,VRAR,1.42,-0.07500000000000018,-5.016722408026767,120650,-5.016722408026767,1.44,-3.6789297658862985,735466,30319928.187290963,67.06837189947485,"The Glimpse Group, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
42,NASDAQ:NGNE,neurogene,NGNE,20.4,-1.0700000000000003,-4.983698183511879,200,-4.983698183511879,22.54,4.983698183511879,89846,321466976.0176991,-41.82086095930678,Neurogene Inc.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
43,NASDAQ:XELB,xcel-brands,XELB,1.54,-0.08000000000000007,-4.938271604938276,2547,-28.39506172839507,1.61,-0.6172839506172845,71579,3924375.0000000005,-73.82503204346453,"Xcel Brands, Inc",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
44,NASDAQ:LNKS,linkers-industries-limited,LNKS,0.52,-0.027000000000000024,-4.936014625228523,249,-4.936014625228523,0.5247,-4.0767824497257745,30445,7049344.5,,Linkers Industries Limited,stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
45,NASDAQ:PN,skycorp-solar-limited,PN,2.1,-0.10899999999999999,-4.934359438660026,10100,-4.934359438660026,2.25,1.856043458578539,319256,60750000.0,,Skycorp Solar Group Limited,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
