,ticker,name,description,logoid,update_mode,type,typespecs,Perf.Y,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NASDAQ:YORK,YORK,Yorkville Acquisition Corp.,,delayed_streaming_900,stock,['common'],10599900.0,10.6,100,1,false,0,USD,-1.2943477046280019,18952,243800000.0,USD,,,,0.0,Finance,Finance,america,,0.36761739238384905
1,NASDAQ:RGC,RGC,Regencell Bioscience Holdings Limited,regencell-bioscience,delayed_streaming_900,stock,['common'],4194.709455948432,13.89,100,1,false,0,USD,0.6521739130434772,378389,6868450798.856522,USD,,-0.3142,13.204419889502766,0.0,Health technology,Health Technology,america,,0.43136772967778864
2,NASDAQ:QUBT,QUBT,Quantum Computing Inc.,quantum-computing,delayed_streaming_900,stock,['common'],2034.722222222222,15.37,100,1,false,0,USD,-4.829721362229098,13095992,2427097102.604335,USD,,-0.4776,-39.97655334114889,0.0,Technology services,Technology Services,america,1.5,0.6583394020892145
3,NASDAQ:DFDV,DFDV,DeFi Development Corp.,janover,delayed_streaming_900,stock,['common'],1828.84281601833,16.07,100,1,false,0,USD,-10.47353760445682,3064116,236884327.43788305,USD,,-0.2584,51.42857142857142,0.0,Finance,Finance,america,1.0,1.0680072112853414
4,NYSE:QBTS,QBTS,D-Wave Quantum Inc.,d-wave-quantum,delayed_streaming_900,stock,['common'],1632.3529411764707,17.67,100,1,false,0,USD,-3.7057220708446845,30090202,5521420356.196185,USD,,-0.6043,-13.504883546205853,0.0,Electronic technology,Electronic Technology,america,1.0,0.5421373723133626
5,NASDAQ:RGTI,RGTI,"Rigetti Computing, Inc.",rigetti-computing-redeemable,delayed_streaming_900,stock,['common'],1252.3364485981308,14.47,100,1,false,0,USD,-7.0648683365446345,31377260,4670229060.680797,USD,,-0.6999,-33.51774132010682,0.0,Electronic technology,Electronic Technology,america,1.0625,0.556993015727235
6,NASDAQ:DGNX,DGNX,Diginex Limited,diginex-limited,delayed_streaming_900,stock,['common'],1146.0093896713615,53.08,100,1,false,0,USD,-1.7400962606442145,72525,1220508940.0399997,USD,,-0.1859,-7.023603914795634,0.0,Technology services,Technology Services,america,,1.613746606737573
7,NASDAQ:BSGM,BSGM,"BioSig Technologies, Inc.",biosig-technologies,delayed_streaming_900,stock,['common'],1106.1939690301551,4.44,100,1,false,0,USD,-2.84463894967177,597293,139090368.26258206,USD,,-0.6233,80.60249587651325,0.0,Health technology,Health Technology,america,1.0,0.45883517338150204
8,NASDAQ:MNPR,MNPR,Monopar Therapeutics Inc.,monopar-therapeutics,delayed_streaming_900,stock,['common'],1078.9041095890414,43.03,100,1,false,0,USD,-0.8525345622119757,8963,263137661.79101384,USD,,-3.9851,-51.31758809234509,0.0,Health technology,Health Technology,america,1.166667,0.29938839657021105
9,NASDAQ:NUTX,NUTX,Nutex Health Inc.,nutex-health,delayed_streaming_900,stock,['common'],957.0544554455446,85.41,100,1,false,0,USD,-7.564935064935074,324143,474462480.2990259,USD,7.174718379073108,11.9043,,0.0,Health services,Health Services,america,1.0,0.8788485872369938
10,AMEX:TGEN,TGEN,Tecogen Inc.,tecogen,delayed_streaming_900,stock,['common'],945.0070323488045,7.43,100,1,false,0,USD,-6.305170239596469,454075,219604715.35939467,USD,,-0.1734,-2.3008849557522044,0.0,Producer manufacturing,Producer Manufacturing,america,,0.2984673472482471
11,NASDAQ:SEZL,SEZL,Sezzle Inc.,sezzle,delayed_streaming_900,stock,['common'],907.972503342477,142.41,100,1,false,0,USD,-2.785173049354913,627906,4740301711.770632,USD,48.1326258153919,2.9587,676.3579113093675,0.0,Technology services,Technology Services,america,1.0,0.7541294769929656
12,NASDAQ:NNNN,NNNN,Anbio Biotechnology,anbio-biotechnology,delayed_streaming_900,stock,['common'],795.6273764258556,47.11,100,1,false,0,USD,-7.318512689356677,112533,6778714723.946685,USD,777.3927392739274,0.0606,5.208333333333338,0.0,Health technology,Health Technology,america,,0.7952125986922766
13,AMEX:UAMY,UAMY,United States Antimony Corporation,united-states-antimony,delayed_streaming_900,stock,['common'],732.4295010845987,3.07,100,1,false,0,USD,-8.083832335329342,3246125,365641600.4041916,USD,,-0.0085,84.40366972477064,0.0,Non-energy minerals,Non-Energy Minerals,america,1.0,0.45303627988636846
14,NASDAQ:RKLB,RKLB,Rocket Lab Corporation,rocket-lab,delayed_streaming_900,stock,['common'],707.9335793357933,43.79,100,1,false,0,USD,-2.926180447794281,14706515,20990242596.172028,USD,,-0.4128,-10.522088353413656,0.0,Electronic technology,Electronic Technology,america,1.352941,0.5736549167262714
15,NASDAQ:TSSI,TSSI,"TSS, Inc.",tss,delayed_streaming_900,stock,['common'],703.0508474576271,23.69,100,1,false,0,USD,-13.096111518708732,3882934,592735609.3694057,USD,66.73239436619718,0.355,814.9484536082474,0.0,Technology services,Technology Services,america,,1.5114974437430593
16,NASDAQ:MVST,MVST,"Microvast Holdings, Inc.",microvast,delayed_streaming_900,stock,['common'],688.2609750181906,3.25,100,1,false,0,USD,-2.4024024024024047,5795712,1057359427.0270269,USD,,-0.4479,-37.90024630541873,0.0,Producer manufacturing,Producer Manufacturing,america,1.333333,1.028833680078992
17,AMEX:CTM,CTM,"Castellum, Inc.",castellum,delayed_streaming_900,stock,['common'],663.2093933463796,1.17,100,1,false,0,USD,-9.302325581395356,4019658,106252478.86046512,USD,,-0.1196,66.41392867172144,0.0,Process industries,Process Industries,america,1.0,0.9875964530182754
18,NYSE:OKLO,OKLO,Oklo Inc.,altc,delayed_streaming_900,stock,['common'],653.0222693531284,71.01,100,1,false,0,USD,-5.9470198675496615,15896386,10381459163.461988,USD,,-5.399,-2987.16577540107,0.0,Producer manufacturing,Producer Manufacturing,america,1.464286,0.7099444854400335
19,NASDAQ:NEON,NEON,Neonode Inc.,neonode,delayed_streaming_900,stock,['common'],641.914191419142,22.48,100,1,false,0,USD,-10.935023771790801,369977,377280099.67036456,USD,,-0.377,46.29629629629629,0.0,Electronic technology,Electronic Technology,america,1.0,1.047816837027731
20,NASDAQ:PSIX,PSIX,"Power Solutions International, Inc.",power-solutions-international,delayed_streaming_900,stock,['common'],637.6569037656905,88.15,100,1,false,0,USD,-1.021783067594876,415924,2028174428.4982035,USD,24.97803972684254,3.5291,172.98112623762376,0.0,Producer manufacturing,Producer Manufacturing,america,1.0,0.5807982883427985
21,NASDAQ:TRON,TRON,Tron Inc.,srm-entertainment,delayed_streaming_900,stock,['common'],620.1550387596898,9.29,100,1,false,0,USD,-14.41731920773838,4425067,165674236.89999998,USD,,-0.2567,36.12839014680269,0.0,Consumer durables,Consumer Durables,america,,0.5481215502386795
22,NASDAQ:ROMA,ROMA,Roma Green Finance Limited,roma-green-finance-limited,delayed_streaming_900,stock,['common'],587.5,3.85,100,1,false,0,USD,-6.211936662606584,76626,46063598.39220463,USD,,,,0.0,Commercial services,Commercial Services,america,,0.3042594174257667
23,NASDAQ:TOI,TOI,"The Oncology Institute, Inc.",the-oncology-institute,delayed_streaming_900,stock,['common'],583.0188679245283,3.62,100,1,false,0,USD,-3.978779840848804,1530551,332727716.9071618,USD,,-0.6963,13.856241494494617,0.0,Health services,Health Services,america,1.0,0.6644891713798747
