,ticker,name,description,logoid,update_mode,type,typespecs,Value.Traded,currency,close,pricescale,minmov,fractional,minmove2,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,recommendation_mark
0,NASDAQ:TSLA,TSLA,"Tesla, Inc.",tesla,delayed_streaming_900,stock,['common'],28058355014.8,USD,321.2,100,1,false,0,-1.3483215086458389,87354779,0.8678385199010007,1036014198991.7295,USD,186.00880240908037,1.7268,-51.50391776897801,0.0,Consumer durables,america,Consumer Durables,1.845455
1,NASDAQ:NVDA,NVDA,NVIDIA Corporation,nvidia,delayed_streaming_900,stock,['common'],27040964177.39,USD,175.51,100,1,false,0,-0.7015558698727067,154070789,0.988644725593111,4282444000000.0,USD,56.53406345627315,3.1045,81.60280783854927,0.0226308345120226,Electronic technology,america,Electronic Technology,1.189394
2,NASDAQ:AMD,AMD,"Advanced Micro Devices, Inc.",advanced-micro-devices,delayed_streaming_900,stock,['common'],19190614023.36,USD,177.44,100,1,false,0,2.1766670505585632,108152694,1.9591884030427782,287701984504.4312,USD,130.0689048526609,1.3642,99.18236238866992,0.0,Electronic technology,america,Electronic Technology,1.330357
3,NYSE:UNH,UNH,UnitedHealth Group Incorporated,unitedhealth,delayed_streaming_900,stock,['common'],10888138688.47,USD,261.07,100,1,false,0,-7.461363958599182,41705821,2.810606792770988,236827151066.6052,USD,11.308046484833522,23.0871,52.6520761703253,3.01644690202751,Health services,america,Health Services,1.448276
4,NASDAQ:AAPL,AAPL,Apple Inc.,apple,delayed_streaming_900,stock,['common'],10861710562.78,USD,211.27,100,1,false,0,-1.298761971501986,51411514,1.128064364294193,3155492040320.21,USD,32.970239860172605,6.4079,-0.35609877464701006,0.471852370941369,Electronic technology,america,Electronic Technology,1.5
5,NASDAQ:META,META,"Meta Platforms, Inc.",meta-platforms,delayed_streaming_900,stock,['common'],9286725000.0,USD,700.0,100,1,false,0,-2.456697741175814,13266750,1.273377761076371,1759903576427.6858,USD,27.304499781564,25.6368,47.260915268451576,0.285662528043699,Technology services,america,Technology Services,1.222222
6,NASDAQ:MSFT,MSFT,Microsoft Corporation,microsoft,delayed_streaming_900,stock,['common'],8441500465.470001,USD,512.57,100,1,false,0,0.013658536585375613,16468971,1.0124338518025502,3809699050049.1724,USD,39.60944623896883,12.9406,12.125255606002842,0.63219512195122,Technology services,america,Technology Services,1.146154
7,NASDAQ:AMZN,AMZN,"Amazon.com, Inc.",amazon,delayed_streaming_900,stock,['common'],7788707979.91,USD,231.01,100,1,false,0,-0.7646376562567125,33715891,0.968503826833368,2452483303721.756,USD,37.67716471221437,6.1313,72.19850586979723,0.0,Retail trade,america,Retail Trade,1.098592
8,NYSE:SPOT,SPOT,Spotify Technology S.A.,spotify-technology,delayed_streaming_900,stock,['common'],7110366441.48,USD,620.01,100,1,false,0,-11.550971497046996,11468148,6.308828808112692,124488034949.24992,USD,102.1955199525293,6.0669,,0.0,Technology services,america,Technology Services,1.488095
9,NASDAQ:PLTR,PLTR,Palantir Technologies Inc.,palantir,delayed_streaming_900,stock,['common'],6628669800.4800005,USD,156.24,100,1,false,0,-1.0387636179376656,42426202,0.8058144097034894,368713013823.3032,USD,682.2707423580786,0.229,80.74191002367797,0.0,Technology services,america,Technology Services,1.931034
10,NASDAQ:GOOG,GOOG,Alphabet Inc.,alphabet,delayed_streaming_900,stock,['common'],6264445577.13,USD,196.43,100,1,false,0,1.5561989453003926,31891491,1.1613571335279131,2370330703871.9946,USD,20.922405070032486,9.3885,34.66972674460303,0.41877778926688,Technology services,america,Technology Services,1.229167
11,NASDAQ:AVGO,AVGO,Broadcom Inc.,broadcom,delayed_streaming_900,stock,['common'],5713499171.1,USD,297.42,100,1,false,0,1.0601427115188597,19210205,1.1813365816770378,1398906343723.4976,USD,111.80362378768514,2.6602,14.446738943383252,0.781515460414543,Electronic technology,america,Electronic Technology,1.193878
12,NYSE:LLY,LLY,Eli Lilly and Company,eli-lilly,delayed_streaming_900,stock,['common'],5417487457.450001,USD,762.95,100,1,false,0,-5.5883481209241275,7100711,2.2553348813121814,723074859634.8578,USD,63.20363175465774,12.0713,80.77844670081171,0.692974966279343,Health technology,america,Health Technology,1.266667
13,NASDAQ:SOFI,SOFI,"SoFi Technologies, Inc.",sofi,delayed_streaming_900,stock,['common'],5288842160.0,USD,22.4,100,1,false,0,6.565176022835391,236109025,4.384509475754065,24760135304.890575,USD,45.40847354550983,0.4933,,0.0,Finance,america,Finance,1.934783
14,NYSE:BA,BA,Boeing Company (The),boeing,delayed_streaming_900,stock,['common'],4558596183.360001,USD,226.08,100,1,false,0,-4.369527515756518,20163642,3.081495652261621,170465564534.96893,USD,,-17.9353,-406.76141500904157,0.0,Electronic technology,america,Electronic Technology,1.366667
15,NYSE:UNP,UNP,Union Pacific Corporation,union-pacific,delayed_streaming_900,stock,['common'],4271983224.1200004,USD,223.77,100,1,false,0,-2.386145524341301,19090956,3.7403736244333343,132705392190.86452,USD,19.4371335504886,11.5125,8.150381873009605,2.33816087942767,Transportation,america,Transportation,1.448276
16,NYSE:GTLS,GTLS,"Chart Industries, Inc.",chart-industries,delayed_streaming_900,stock,['common'],4183523940.4,USD,198.8,100,1,false,0,15.817069618409556,21043883,45.08800286933041,8934361103.727352,USD,36.854399169478334,5.3942,152.4901703800786,0.0,Producer manufacturing,america,Producer Manufacturing,1.277778
17,NASDAQ:MSTR,MSTR,MicroStrategy Incorporated,microstrategy,delayed_streaming_900,stock,['common'],4175363090.36,USD,394.66,100,1,false,0,-2.263496780584444,10579646,0.9690064724470917,111906900939.9828,USD,,-21.8108,-160.1634162342697,0.0,Technology services,america,Technology Services,1.277778
18,NASDAQ:COIN,COIN,"Coinbase Global, Inc.",coinbase,delayed_streaming_900,stock,['common'],3467143163.7599998,USD,371.44,100,1,false,0,-2.1212680176025747,9334329,0.6306032765664239,94607610756.0355,USD,69.60758592256663,5.3362,6.572666813125351,0.0,Finance,america,Finance,1.671053
19,NASDAQ:SMCI,SMCI,"Super Micro Computer, Inc.",super-micro-computer,delayed_streaming_900,stock,['common'],3370530703.54,USD,58.63,100,1,false,0,-2.3646960865944955,57488158,1.4545071010102513,34991417023.49859,USD,32.36008389446959,1.8118,1.6836906499045925,0.0,Electronic technology,america,Electronic Technology,1.789474
20,NASDAQ:NFLX,NFLX,"Netflix, Inc.",netflix,delayed_streaming_900,stock,['common'],3216917112.84,USD,1168.74,100,1,false,0,-0.49889324025199216,2752466,0.5697678893232735,496628389263.6376,USD,49.80546405239899,23.4661,46.643877991013696,0.0,Technology services,america,Technology Services,1.464286
21,NASDAQ:HOOD,HOOD,"Robinhood Markets, Inc.",robinhood,delayed_streaming_900,stock,['common'],3158275944.6,USD,103.32,100,1,false,0,-3.231244731666201,30567905,0.7083085298291991,91176687711.8168,USD,58.96923691570115,1.7521,1104.192439862543,0.0,Finance,america,Finance,1.407407
22,NASDAQ:PYPL,PYPL,"PayPal Holdings, Inc.",paypal,delayed_streaming_900,stock,['common'],3064507648.0,USD,71.45,100,1,false,0,-8.655075428279208,42890240,4.5392414219665165,69487472282.30568,USD,15.29945825571187,4.6701,13.132267441860455,0.0,Commercial services,america,Commercial Services,1.655556
23,NYSE:NSC,NSC,Norfolk Southern Corporation,norfolk-southern,delayed_streaming_900,stock,['common'],2707461976.1,USD,277.7,100,1,false,0,-3.044480134068859,9749593,3.193534326506102,62605661969.58347,USD,18.964434003496503,14.6432,135.36824508952972,1.88534320229034,Transportation,america,Transportation,1.64
24,NASDAQ:PANW,PANW,"Palo Alto Networks, Inc.",palo-alto-networks,delayed_streaming_900,stock,['common'],2639173663.28,USD,193.84,100,1,false,0,-5.212713936430316,13615217,3.6604870260185085,129252509634.10936,USD,110.9241773962804,1.7475,-49.128118540944946,0.0,Technology services,america,Technology Services,1.368421
25,NYSE:V,V,Visa Inc.,visa,delayed_streaming_900,stock,['common'],2600183240.06,USD,351.29,100,1,false,0,-1.1759079528511567,7401814,1.5403915506505415,681207245526.1284,USD,35.730341649968985,9.8317,11.649008051420076,0.644217514839508,Finance,america,Finance,1.290698
26,NYSE:UPS,UPS,"United Parcel Service, Inc.",united-parcel,delayed_streaming_900,stock,['common'],2372032611.36,USD,90.84,100,1,false,0,-10.57294743059657,26112204,5.4268766710761085,76923111338.21382,USD,13.504995242626071,6.7264,9.782928023502532,6.43827525103367,Transportation,america,Transportation,1.558824
27,NYSE:MRK,MRK,"Merck & Company, Inc.",merck-and-co,delayed_streaming_900,stock,['common'],2299297001.97,USD,82.63,100,1,false,0,-1.7011658339281546,27826419,2.5802282329855935,207486506161.78146,USD,12.739550731564421,6.4861,20.20645687386486,3.80680466333571,Health technology,america,Health Technology,1.42
28,NYSE:JPM,JPM,JP Morgan Chase & Co.,jpmorgan-chase,delayed_streaming_900,stock,['common'],2268113971.76,USD,297.04,100,1,false,0,-0.41571677618343583,7635719,0.9123589833136593,825502221679.9015,USD,15.241027219785014,19.4895,8.70498862165901,1.69304009655357,Finance,america,Finance,1.625
29,NASDAQ:CYBR,CYBR,CyberArk Software Ltd.,cyber-ark-software,delayed_streaming_900,stock,['common'],2227366064.8,USD,434.48,100,1,false,0,13.46791674283774,5126510,10.272268176108392,21851619096.3464,USD,,-1.8652,-180.65001504664463,0.0,Technology services,america,Technology Services,1.128205
30,NYSE:UBER,UBER,"Uber Technologies, Inc.",uber,delayed_streaming_900,stock,['common'],2174793486.6,USD,87.11,100,1,false,0,-3.85209713024282,24966060,1.5750595155115705,182161659956.92792,USD,15.189454044534344,5.7349,795.0991103480567,0.0,Transportation,america,Transportation,1.245614
31,NYSE:VRT,VRT,"Vertiv Holdings, LLC",vertiv-holdings,delayed_streaming_900,stock,['common'],2164722754.2,USD,142.7,100,1,false,0,0.10522623640826184,15169746,2.2377529763461124,54383712361.33777,USD,82.73423005565861,1.7248,65.83020863378522,0.0964573833742546,Electronic technology,america,Electronic Technology,1.240741
32,NYSE:HIMS,HIMS,"Hims & Hers Health, Inc.",hims-and-hers-health,delayed_streaming_900,stock,['common'],2147923354.5,USD,60.27,100,1,false,0,2.709611451942746,35638350,1.1313177965204648,13490326154.516361,USD,87.7292576419214,0.687,,0.0,Health services,america,Health Services,1.866667
33,NYSE:ORCL,ORCL,Oracle Corporation,oracle,delayed_streaming_900,stock,['common'],2103662693.52,USD,249.98,100,1,false,0,0.9163941706027137,8415324,0.852056412893131,702152094323.5458,USD,57.58713630813886,4.3409,17.115877512478086,0.68628638327076,Technology services,america,Technology Services,1.406977
34,NASDAQ:SNPS,SNPS,"Synopsys, Inc.",synopsys,delayed_streaming_900,stock,['common'],2094168668.62,USD,635.81,100,1,false,0,7.286165060830527,3293702,1.0706983613387138,117652597804.95415,USD,45.78718439889962,13.8862,51.07325086763057,0.0,Technology services,america,Technology Services,1.125
35,NASDAQ:INTC,INTC,Intel Corporation,intel,delayed_streaming_900,stock,['common'],2057800083.3,USD,20.41,100,1,false,0,-1.3056092843326865,100823130,1.1430791920621974,89334571318.55705,USD,,-4.7628,-2174.3902439024387,2.41779497098646,Electronic technology,america,Electronic Technology,2.055556
36,NASDAQ:SBUX,SBUX,Starbucks Corporation,starbucks,delayed_streaming_900,stock,['common'],1945049582.56,USD,92.96,100,1,false,0,-0.7579801430554158,20923511,2.5085991426730407,105639744204.43855,USD,33.79012031551016,2.7511,-24.245511620222494,2.56218639906053,Consumer services,america,Consumer Services,1.697368
37,NASDAQ:COST,COST,Costco Wholesale Corporation,costco-wholesale,delayed_streaming_900,stock,['common'],1930633771.43,USD,934.57,100,1,false,0,0.06209916594396524,2065799,0.9809379885728124,414460371535.4636,USD,53.01231472605265,17.6293,9.270714533644068,0.511782781400229,Retail trade,america,Retail Trade,1.551282
