,ticker,name,description,logoid,update_mode,type,typespecs,Volatility.D,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NASDAQ:PTHL,PTHL,Pheton Holdings Ltd,pheton-ltd,delayed_streaming_900,stock,['common'],2037.162162162162,1.65,100,1,false,0,USD,-94.67054263565892,10841340,441180000.0,USD,,-0.046,-177.10843373493975,0.0,Health technology,Health Technology,america,,3.6786042413204068
1,NASDAQ:RCON,RCON,"Recon Technology, Ltd.",recon-technology,delayed_streaming_900,stock,['common'],287.02702702702703,2.26,100,1,false,0,USD,-23.454699407281975,39897020,69217985.61896697,USD,,-0.5704,83.10626702997276,0.0,Distribution services,Distribution Services,america,,1799.3920396888036
2,NASDAQ:GLE,GLE,Global Engine Group Holding Limited,global-engine-limited,delayed_streaming_900,stock,['common'],206.0,1.1,100,1,false,0,USD,-62.96296296296296,1899335,68131798.0,USD,244.44444444444449,0.0045,-61.20689655172414,0.0,Technology services,Technology Services,america,,5.279943312473034
3,NASDAQ:PET,PET,Wag! Group Co.,wag-co,delayed_streaming_900,stock,['common'],185.36585365853662,0.0469,10000,1,false,0,USD,-59.91452991452992,29598910,5936476.0,USD,,-0.3792,-7.849829351535824,0.0,Commercial services,Commercial Services,america,,1.8614957308010507
4,NASDAQ:SLRX,SLRX,"Salarius Pharmaceuticals, Inc.",salarius-pharmaceuticals,delayed_streaming_900,stock,['common'],161.74226804123714,0.9996,10000,1,false,0,USD,34.880582917285125,101722396,2126435.5514775338,USD,,-5.174,76.17655319756332,0.0,Health technology,Health Technology,america,,175.2804792081617
5,NASDAQ:AEHL,AEHL,Antelope Enterprise Holdings Limited,antelope-enterprise-limited,delayed_streaming_900,stock,['common'],159.12698412698413,3.885,100,1,false,0,USD,-8.588235294117652,10988282,13281991.379999999,USD,,-42.4328,71.97610564238376,0.0,Producer manufacturing,Producer Manufacturing,america,,242.11903807086418
6,AMEX:AIM,AIM,AIM ImmunoTech Inc.,aim-immunotech,delayed_streaming_900,stock,['common'],146.57534246575344,3.15,100,1,false,0,USD,-56.250000000000014,2682687,5502153.0,USD,,-24.798,60.99962254655259,0.0,Health technology,Health Technology,america,,5.851289669578403
7,NASDAQ:HWH,HWH,HWH International Inc.,hwh-international,delayed_streaming_900,stock,['common'],127.33093525179858,1.96,100,1,false,0,USD,36.111111111111114,60647680,12693744.0,USD,,-0.4288,36.53049141503848,0.0,Finance,Finance,america,,126.17169410234507
8,NASDAQ:PFSA,PFSA,"Profusa, Inc.",,delayed_streaming_900,stock,['common'],122.98850574712642,0.8759,10000,1,false,0,USD,-54.85051546391752,8349675,63610428.0,USD,,-1.5665,-8413.58695652174,0.0,Electronic technology,Electronic Technology,america,,0.5796889859339137
9,NASDAQ:DRRX,DRRX,DURECT Corporation,durect,delayed_streaming_900,stock,['common'],112.22043010752687,1.88,100,1,false,0,USD,240.14836258368013,50400861,17157233.0,USD,,-0.5133,48.72640095894516,0.0,Health technology,Health Technology,america,2.0,757.1630456663733
10,NASDAQ:WLGS,WLGS,"Wang & Lee Group, Inc.",wang-and-lee-group,delayed_streaming_900,stock,['common'],95.8333333333333,0.0533,10000,1,false,0,USD,-36.997635933806144,82957056,1692428.8238000001,USD,,-0.0215,-290.90909090909093,0.0,Industrial services,Industrial Services,america,,0.48764253361428656
11,NASDAQ:STAI,STAI,ScanTech AI Systems Inc.,scantech-ai-systems,delayed_streaming_900,stock,['common'],94.67391304347825,1.19,100,1,false,0,USD,77.87742899850521,319077443,57432151.7638266,USD,,,,0.0,Finance,Finance,america,,88.7649469345052
12,NASDAQ:ATNF,ATNF,180 Life Sciences Corp.,180-life-sciences,delayed_streaming_900,stock,['common'],86.27450980392159,3.22,100,1,false,0,USD,10.652920962199314,7837088,19446250.55670103,USD,,-5.692,80.01846501651671,0.0,Health technology,Health Technology,america,,0.654744950715352
13,NYSE:BKKT,BKKT,"Bakkt Holdings, Inc.",bakkt,delayed_streaming_900,stock,['common'],73.60970677451972,10.0,100,1,false,0,USD,-41.758881770529996,7578563,141518079.790332,USD,,-4.8899,73.67057936678871,0.0,Commercial services,Commercial Services,america,,8.373915852927924
14,NASDAQ:SGD,SGD,Safe and Green Development Corporation,safe-and-green-development,delayed_streaming_900,stock,['common'],71.42857142857142,1.26,100,1,false,0,USD,43.18181818181818,85258478,2635605.0000000005,USD,,-6.9361,34.715372162192686,0.0,Finance,Finance,america,,1801.3775311855582
15,NASDAQ:WBUY,WBUY,WEBUY GLOBAL LTD.,webuy-global-ltd,delayed_streaming_900,stock,['common'],70.76923076923077,4.15,100,1,false,0,USD,-37.687687687687685,364479,5078072.725225225,USD,,-10.7004,9.232491856677525,0.0,Retail trade,Retail Trade,america,,0.8301987444029536
16,NASDAQ:ADIL,ADIL,"Adial Pharmaceuticals, Inc",adial-pharmaceuticals,delayed_streaming_900,stock,['common'],66.40986132511557,0.6061,10000,1,false,0,USD,-3.793650793650799,21169713,9561769.141746031,USD,,-1.624,72.39034342060523,0.0,Health technology,Health Technology,america,1.0,4.582874408271887
17,NASDAQ:SISI,SISI,"Shineco, Inc.",shineco,delayed_streaming_900,stock,['common'],66.07285145133751,0.2185,10000,1,false,0,USD,42.067620286085834,182000973,9839214.11573472,USD,,-64.8322,75.29162741206206,0.0,Process industries,Process Industries,america,,38.30768678986058
18,NASDAQ:MGRT,MGRT,Mega Fortune Company Limited,,delayed_streaming_900,stock,['common'],63.63636363636363,2.87,100,1,false,0,USD,25.877192982456155,1464312,,USD,,,,,Technology services,Technology Services,america,,
19,NASDAQ:LESL,LESL,"Leslie's, Inc.",leslie-s,delayed_streaming_900,stock,['common'],60.598503740648376,0.412,10000,1,false,0,USD,-36.0248447204969,13772722,76458337.52173913,USD,,-0.2435,-403.6159600997506,0.0,Retail trade,Retail Trade,america,1.958333,3.282053655284997
20,NASDAQ:VWAV,VWAV,"VisionWave Holdings, Inc.",,delayed_streaming_900,stock,['common'],60.58394160583943,7.73,100,1,false,0,USD,-29.727272727272723,7992893,110314468.09545453,USD,,-0.4182,-733.0677290836653,0.0,Finance,Finance,america,,0.308489182890216
21,AMEX:CLDI,CLDI,"Calidi Biotherapeutics, Inc.",first-light-acquisition,delayed_streaming_900,stock,['common'],59.89695861725113,0.6317,10000,1,false,0,USD,14.938136826783127,178852510,21806648.353893742,USD,,-1.842,81.7339825272949,0.0,Health technology,Health Technology,america,1.0,50.26212517760464
22,NASDAQ:NWTN,NWTN,NWTN Inc.,nwtn,delayed_streaming_900,stock,['common'],58.03571428571427,1.33,100,1,false,0,USD,22.01834862385321,4299970,388625608.3211009,USD,,-0.5905,-3567.701863354038,0.0,Consumer durables,Consumer Durables,america,,20.880391427519772
23,NASDAQ:GIBO,GIBO,GIBO Holdings Limited,gibo-limited,delayed_streaming_900,stock,['common'],54.70588235294119,0.095,10000,1,false,0,USD,41.36904761904763,703033959,18990925.41,USD,,,,0.0,Technology services,Technology Services,america,,2.425703977627889
24,NASDAQ:CASK,CASK,"Heritage Distilling Holding Company, Inc.",heritage-distilling-company,delayed_streaming_900,stock,['common'],54.25298905235195,0.58,10000,1,false,0,USD,19.612291194060624,31109793,,USD,,,,,Consumer non-durables,Consumer Non-Durables,america,,5.943947684505538
25,NASDAQ:VAPE,VAPE,CEA Industries Inc.,cea-industries,delayed_streaming_900,stock,['common'],53.80567893782335,40.98,100,1,false,0,USD,-28.83563427976036,1347479,34478359.49986975,USD,,-4.2148,16.120044578888702,0.0,Producer manufacturing,Producer Manufacturing,america,1.0,0.9352751080858239
26,NASDAQ:WXM,WXM,WF International Limited,wf-international-limited,delayed_streaming_900,stock,['common'],51.51740098685648,2.9999,100,1,false,0,USD,6.379432624113473,138597,20699309.999999996,USD,,,,0.0,Producer manufacturing,Producer Manufacturing,america,,2.858400910748315
27,NASDAQ:ANPA,ANPA,Rich Sparkle Holdings Limited,,delayed_streaming_900,stock,['common'],51.19734789391577,37.21,100,1,false,0,USD,43.06036139946174,359881,,USD,,,,,Commercial services,Commercial Services,america,,0.19338235262508774
28,NASDAQ:NIVF,NIVF,NewGenIvf Group Limited,newgenivf-limited,delayed_streaming_900,stock,['common'],49.16174734356554,0.46,10000,1,false,0,USD,-11.555470101903477,26640786,1989299.6731397808,USD,,,,0.0,Health services,Health Services,america,,40.77913088520849
29,NASDAQ:BSLK,BSLK,"Bolt Projects Holdings, Inc.",bolt-projects,delayed_streaming_900,stock,['common'],48.93617021276595,3.15,100,1,false,0,USD,17.100371747211895,4037198,6494604.423791821,USD,6.147540983606557,0.5124,,0.0,Finance,Finance,america,,0.5413708465486311
30,NASDAQ:NVNI,NVNI,Nvni Group Limited,nvni-limited,delayed_streaming_900,stock,['common'],48.214285714285694,0.6445,10000,1,false,0,USD,-6.336288330184578,42421220,22269453.177590463,USD,,-0.4743,-1532.9305135951663,0.0,Technology services,Technology Services,america,,2.297546444239948
31,NASDAQ:BLIV,BLIV,BeLive Holdings,belive,delayed_streaming_900,stock,['common'],47.79625230931642,2.02,100,1,false,0,USD,-20.15810276679841,51881,21946900.040000003,USD,,-0.4095,-157.22361809045222,0.0,Technology services,Technology Services,america,,1.4320177315046108
32,NASDAQ:SUPX,SUPX,Super X AI Technology Limited,junee-limited,delayed_streaming_900,stock,['common'],46.99215344376634,16.12,100,1,false,0,USD,41.90140845070424,764192,209194946.48000005,USD,,,,0.0,Commercial services,Commercial Services,america,,12.443732312031237
