,ticker,logoid,name,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,description,type,typespecs,update_mode,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
0,NASDAQ:DRRX,durect,DRRX,1.99,1.4373,260.0506603944274,11642254,15.234304324226535,1.88,240.14836258368013,50400861,17157233.0,-60.926529044307735,DURECT Corporation,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
1,NASDAQ:SLRX,salarius-pharmaceuticals,SLRX,1.55,0.8089000000000001,109.14856294697073,24909302,56.524085818378076,0.9996,34.880582917285125,101722396,2126435.5514775338,46.7338009158253,"Salarius Pharmaceuticals, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
2,AMEX:CLDI,first-light-acquisition,CLDI,0.91,0.36040000000000005,65.57496360989812,89810883,-2.6746724890829574,0.6317,14.938136826783127,178852510,21806648.353893742,91.0018114790957,"Calidi Biotherapeutics, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
3,NASDAQ:STAI,scantech-ai-systems,STAI,0.9669,0.29789999999999994,44.52914798206277,39272655,40.49327354260088,1.19,77.87742899850521,319077443,57432151.7638266,-65.85095389313793,ScanTech AI Systems Inc.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
4,NASDAQ:SRPT,sarepta-therapeutics,SRPT,18.21,4.350000000000001,31.3852813852814,4932542,49.06204906204907,15.83,14.21356421356422,67569461,1555725361.143579,-86.9912753120941,"Sarepta Therapeutics, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
5,AMEX:SOAR,volato,SOAR,2.19,0.48,28.07017543859649,27027482,-1.1695906432748548,1.78,4.093567251461992,47937169,3698699.473684211,-84.84224609318733,"Volato Group, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
6,NASDAQ:AEHL,antelope-enterprise-limited,AEHL,5.36,1.1100000000000003,26.117647058823536,1083753,-3.0588235294117623,3.885,-8.588235294117652,10988282,13281991.379999999,-96.83530246609924,Antelope Enterprise Holdings Limited,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
7,NASDAQ:WGS,sema4,WGS,105.0,20.090000000000003,23.660346248969503,139780,5.853256389117888,91.78,8.090919797432582,3322683,2618777495.9364038,163.66606908194493,GeneDx Holdings Corp.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
8,NASDAQ:TNFA,mymd-pharmaceuticals,TNFA,0.1545,0.0295,23.599999999999998,135037568,16.559999999999995,0.1544,23.520000000000007,294976461,2190023.1872,-65.85172240446622,"TNF Pharmaceuticals, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
9,NYSE:XPRO,franks-international,XPRO,11.1,2.0999999999999996,23.33333333333333,39403,4.22222222222223,11.89,32.11111111111112,6398947,1371997705.88,-65.93754948478767,Expro Group Holdings N.V.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
10,NASDAQ:GIBO,gibo-limited,GIBO,0.0819,0.014700000000000005,21.875000000000007,64536135,25.000000000000018,0.095,41.36904761904763,703033959,18990925.41,,GIBO Holdings Limited,stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
11,NASDAQ:INTZ,intrusion,INTZ,2.26,0.3999999999999997,21.505376344086002,233624,0.5376344086021511,1.81,-2.6881720430107547,1094084,36010124.18817205,434.6229137987708,Intrusion Inc.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
12,NASDAQ:SGD,safe-and-green-development,SGD,1.06,0.18000000000000005,20.45454545454546,23763108,6.818181818181812,1.26,43.18181818181818,85258478,2635605.0000000005,,Safe and Green Development Corporation,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
13,NASDAQ:ADIL,adial-pharmaceuticals,ADIL,0.7491,0.11909999999999998,18.9047619047619,6247431,32.60317460317461,0.6061,-3.793650793650799,21169713,9561769.141746031,41.05396896883637,"Adial Pharmaceuticals, Inc",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
