,ticker,logoid,name,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,description,type,typespecs,update_mode,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
0,AMEX:AIM,aim-immunotech,AIM,3.6,-3.6,-50.0,747358,-9.722222222222223,3.15,-56.250000000000014,2682687,5502153.0,-71.94443898244941,AIM ImmunoTech Inc.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
1,NASDAQ:PFSA,,PFSA,1.15,-0.79,-40.72164948453609,1482034,-31.958762886597935,0.8759,-54.85051546391752,8349675,63610428.0,-90.41728222071958,"Profusa, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
2,NYSE:BKKT,bakkt,BKKT,10.2496,-6.9204000000000025,-40.30518345952243,974565,-25.917297612114155,10.0,-41.758881770529996,7578563,141518079.790332,7.87107023087911,"Bakkt Holdings, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
3,NASDAQ:WLGS,wang-and-lee-group,WLGS,0.0549,-0.029699999999999997,-35.1063829787234,10648429,-36.406619385342786,0.0533,-36.997635933806144,82957056,1692428.8238000001,,"Wang & Lee Group, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
4,NASDAQ:VWAV,,VWAV,7.15,-3.8499999999999996,-35.0,984943,-18.181818181818183,7.73,-29.727272727272723,7992893,110314468.09545453,-79.41250690388385,"VisionWave Holdings, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
5,NASDAQ:LESL,leslie-s,LESL,0.47,-0.17400000000000004,-27.018633540372676,157406,-23.183229813664603,0.412,-36.0248447204969,13772722,76458337.52173913,-89.96079149413261,"Leslie's, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
6,NASDAQ:EKSO,ekso-bionics,EKSO,3.6,-0.9300000000000002,-20.529801324503314,48743,-31.12582781456954,3.29,-27.373068432671083,352256,7896000.726269315,-68.09862521409714,"Ekso Bionics Holdings, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
7,NASDAQ:NEO,neogenomics,NEO,5.22,-1.2400000000000002,-19.195046439628484,388870,3.5603715170278702,5.25,-18.730650154798763,11695469,675646148.5681114,-55.07636666557106,"NeoGenomics, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
8,NYSE:PERF,perfect,PERF,1.98,-0.4700000000000002,-19.18367346938776,117845,1.2244897959183594,2.05,-16.32653061224491,761151,208790355.44897953,-0.000981836519574977,Perfect Corp.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
9,NASDAQ:CREV,carbon-revolution-public-limited-company,CREV,4.39,-1.0300000000000002,-19.003690036900373,31746,-15.867158671586722,4.8,-11.439114391143914,252946,9048882.952029519,-19.837403885722132,Carbon Revolution Public Limited Company,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
10,NYSE:NOTE,fiscalnote,NOTE,0.65,-0.13929999999999998,-17.64854934752312,692482,0.08868617762574862,0.5827,-26.17509185354111,10141073,92192875.29063728,-61.30728836773129,"FiscalNote Holdings, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
