,ticker,name,description,logoid,update_mode,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NYSE:SI,SI,"Shoulder Innovations, Inc.",,streaming,stock,['common'],,USD,15.05,100,1,false,0,USD,1104.0,1977887,,-9.7746,14.707550544934172,,Health technology,Health Technology,america,,0.7395820845784735
1,NASDAQ:SNGX,SNGX,"Soligenix, Inc.",soligenix,streaming,stock,['common'],4080432.0,USD,2.93,100,1,false,0,USD,134.4,376149576,,-4.3358,63.381923213350674,0.0,Health technology,Health Technology,america,1.0,2153.7734774109545
2,AMEX:PAPL,PAPL,Pineapple Financial Inc.,,streaming,stock,['common'],,USD,5.14,100,1,false,0,USD,73.06397306397304,33527526,,-8.126,4.264844486333649,0.0,Finance,Finance,america,,12.032376767150229
3,NASDAQ:RCON,RCON,"Recon Technology, Ltd.",recon-technology,streaming,stock,['common'],137823419.11764705,USD,4.5,100,1,false,0,USD,65.44117647058823,3304434,,-0.5704,83.10626702997276,0.0,Distribution services,Distribution Services,america,,0.7063733290848192
4,NASDAQ:NEGG,NEGG,"Newegg Commerce, Inc.",newegg-commerce,streaming,stock,['common'],1237296418.414054,USD,63.79,100,1,false,0,USD,41.85012230375806,2570775,,,,0.0,Retail trade,Retail Trade,america,,2.1687290658413247
5,NASDAQ:SLXN,SLXN,Silexion Therapeutics Corp,,streaming,stock,['common'],8657624.41696113,USD,14.94,100,1,false,0,USD,31.97879858657243,2067151,,-296.5916,-1881.9944801962006,0.0,Health technology,Health Technology,america,1.0,86.8533080416027
6,NASDAQ:APLD,APLD,Applied Digital Corporation,applied-digital,streaming,stock,['common'],2957426033.312064,USD,13.14,100,1,false,0,USD,31.00697906281158,137974339,,-1.3755,-72.91011942174732,0.0,Technology services,Technology Services,america,1.0,4.557556790889761
7,NYSE:FRGE,FRGE,"Forge Global Holdings, Inc.",forge-global,streaming,stock,['common'],270235129.2271106,USD,21.92,100,1,false,0,USD,30.32104637336505,417407,,-5.3872,16.736990154711677,0.0,Technology services,Technology Services,america,1.333333,4.7513278224622235
8,NASDAQ:AMSC,AMSC,American Superconductor Corporation,american-superconductor-corporation,streaming,stock,['common'],2480232544.2296314,USD,56.85,100,1,false,0,USD,29.380974055530277,5316032,143.96049632818438,0.3949,,0.0,Producer manufacturing,Producer Manufacturing,america,1.0,5.6726021262312845
9,NASDAQ:PI,PI,"Impinj, Inc.",impinj,streaming,stock,['common'],4480212419.691842,USD,154.58,100,1,false,0,USD,26.48719417396287,2703650,21469.444444444445,0.0072,-97.16312056737588,0.0,Electronic technology,Electronic Technology,america,1.0,5.212265369497977
10,NYSE:RSI,RSI,"Rush Street Interactive, Inc.",rush-street-interactive,streaming,stock,['common'],4616261427.586551,USD,20.16,100,1,false,0,USD,25.529265255292664,11198410,79.30763178599528,0.2542,,0.0,Consumer services,Consumer Services,america,1.222222,8.355886236960915
11,NASDAQ:HIT,HIT,"Health In Tech, Inc.",health-in-tech,streaming,stock,['common'],113173536.42,USD,2.07,100,1,false,0,USD,24.69879518072289,2534575,89.6103896103896,0.0231,-32.25806451612903,0.0,Technology services,Technology Services,america,1.0,0.8945806780244404
12,NASDAQ:AGH,AGH,Aureus Greenway Holdings Inc.,aureus-greenway,streaming,stock,['common'],,USD,2.48,100,1,false,0,USD,24.623115577889447,605887,,,,,Consumer services,Consumer Services,america,,0.1345292833947136
13,NASDAQ:LVLU,LVLU,"Lulu's Fashion Lounge Holdings, Inc.",,streaming,stock,['common'],11064738.46153846,USD,4.0,100,1,false,0,USD,23.076923076923077,931666,,-20.6918,-183.51922391822643,0.0,Retail trade,Retail Trade,america,2.0,2.3463727108683305
14,NASDAQ:CGNX,CGNX,Cognex Corporation,cognex,streaming,stock,['common'],6843846602.615226,USD,40.77,100,1,false,0,USD,20.76421800947869,7007920,57.09284413947627,0.7141,57.46416758544651,0.933056872037915,Electronic technology,Electronic Technology,america,1.545455,3.9826520787487514
15,NASDAQ:EMPG,EMPG,Empro Group Inc.,,streaming,stock,['common'],43793750.0,USD,5.39,100,1,false,0,USD,19.77777777777777,993512,,,,0.0,Distribution services,Distribution Services,america,,4.203139265011605
16,NASDAQ:AVTX,AVTX,"Avalo Therapeutics, Inc.",avalo-therapeutics,streaming,stock,['common'],85429923.93243244,USD,7.89,100,1,false,0,USD,18.468468468468462,708995,,-21.5306,93.24826319311562,0.0,Health technology,Health Technology,america,1.0,3.995751736388987
