,ticker,name,description,logoid,update_mode,type,typespecs,market_cap_basicfundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NASDAQ:ZBAI,ZBAI,ATIF Holdings Limited,,streaming,stock,['common'],,6.08,100,1,false,0,USD,-94.65676762563626,139097,,-7.0742,25.393376924699425,0.0,Finance,Finance,america,,7.679090634729505
1,NASDAQ:FGF,FGF,Fundamental Global Inc.,fg-financial-800-cumulative-series-a-preferred-stock,streaming,stock,['common'],,18.78,100,1,false,0,USD,-48.078518108930055,695110,4.938985903639807,3.8024,,0.0,Finance,Finance,america,,1.3444857053496841
2,NASDAQ:TTD,TTD,"The Trade Desk, Inc.",the-trade-desk,streaming,stock,['common'],,54.23,100,1,false,0,USD,-38.605230386052305,105356906,65.38461538461537,0.8294,63.65430149960536,0.0,Technology services,Technology Services,america,1.488095,11.087282692190849
3,NASDAQ:SRTS,SRTS,"Sensus Healthcare, Inc.",sensus-healthcare,streaming,stock,['common'],,3.465,100,1,false,0,USD,-35.23364485981308,1190232,,-0.0526,-112.89847964688573,0.0,Health technology,Health Technology,america,1.0,8.214864488058328
4,NASDAQ:SEZL,SEZL,Sezzle Inc.,sezzle,streaming,stock,['common'],,91.51,100,1,false,0,USD,-34.32139524869016,5321613,31.399258852594016,2.9144,149.26445432774545,0.0,Technology services,Technology Services,america,1.0,4.965813458837021
5,NASDAQ:FNKO,FNKO,"Funko, Inc.",funko,streaming,stock,['common'],,2.46,100,1,false,0,USD,-32.786885245901644,10416530,,-1.2076,-38.10612991765783,0.0,Consumer durables,Consumer Durables,america,1.333333,9.1310954697046
6,NASDAQ:BIRD,BIRD,"Allbirds, Inc.",allbirds,streaming,stock,['common'],,6.94,100,1,false,0,USD,-29.255861365953105,220165,,-10.5508,39.72624651524153,0.0,Consumer non-durables,Consumer Non-Durables,america,1.75,6.836488181739153
7,AMEX:INUV,INUV,"Inuvo, Inc.",inuvo,streaming,stock,['common'],,3.86,100,1,false,0,USD,-29.17431192660551,576568,,-0.3276,41.20603015075377,0.0,Technology services,Technology Services,america,1.0,5.633776393303582
8,NASDAQ:PMTS,PMTS,CPI Card Group Inc.,cpi-card,streaming,stock,['common'],,13.25,100,1,false,0,USD,-28.839957035445764,508558,11.854701619396977,1.1177,-26.995427824951012,0.0,Finance,Finance,america,1.0,16.709698405449007
9,NYSE:VTEX,VTEX,VTEX,vtex,streaming,stock,['common'],,4.31,100,1,false,0,USD,-27.195945945945954,4521758,79.81481481481481,0.054,,0.0,Technology services,Technology Services,america,1.3,6.730046398428758
10,NYSE:XPOF,XPOF,"Xponential Fitness, Inc.",xponential-fitness,streaming,stock,['common'],,7.09,100,1,false,0,USD,-26.37590861889928,4583680,,-1.7553,-28.36770513383064,0.0,Consumer services,Consumer Services,america,1.444444,7.529890445915956
11,NYSE:BLND,BLND,"Blend Labs, Inc.",blend,streaming,stock,['common'],,2.73,100,1,false,0,USD,-23.52941176470588,13003003,,-0.157,67.61551155115511,0.0,Technology services,Technology Services,america,1.285714,7.433076743712912
12,NASDAQ:HCAT,HCAT,"Health Catalyst, Inc",health-catalyst,streaming,stock,['common'],,2.83,100,1,false,0,USD,-23.30623306233062,3211424,,-1.51,-0.9898341359015465,0.0,Technology services,Technology Services,america,1.5,5.65618892241371
13,NASDAQ:CTW,CTW,CTW Cayman,,streaming,stock,['common'],,2.72,100,1,false,0,USD,-23.1638418079096,696685,9066.666666666668,0.0003,,0.0,Technology services,Technology Services,america,,2.585158636125986
